pmid,first_author,year,title,journal,doi
17542949,El-Sheikh,2007,The association between children's sleep disruption and salivary interleukin-6,Journal of Sleep Research,10.1111/j.1365-2869.2007.00593.x
25468623,Hall,2015,Sleep duration during the school week is associated with C-reactive protein risk groups in healthy adolescents,Sleep Medicine,10.1016/j.sleep.2014.10.005
27136501,Park,2016,Sleep and inflammation during adolescence,Psychosomatic Medicine,10.1097/PSY.0000000000000340
30690224,Chiang,2019,"Daily interpersonal stress, sleep duration, and gene regulation during late adolescence",Psychoneuroendocrinology,10.1016/j.psyneuen.2018.11.026
33130179,LaVoy,2020,Bidirectional relationships between sleep and biomarkers of stress and immunity in youth,International Journal of Psychophysiology,10.1016/j.ijpsycho.2020.10.010
32586679,Park,2020,Sleep and Inflammation During Adolescents' Transition to Young Adulthood,Journal of Adolescent Health,10.1016/j.jadohealth.2020.04.015
