pmid,first_author,year,title,journal,doi
32959137,Huang,2021,Association between sleep duration and weight gain and incident overweight/obesity: longitudinal analyses from the China Health and Nutrition Survey,Sleep and Breathing,10.1007/s11325-020-02194-y
21377926,Itani,2011,Association of onset of obesity with sleep duration and shift work among Japanese adults,Sleep Medicine,10.1016/j.sleep.2010.09.007
23970143,Sayon-Orea,2013,Association between sleeping hours and siesta and the risk of obesity: the SUN mediterranean cohort,Obesity Facts,10.1159/000354746
20175399,Watanabe,2010,Association of short sleep duration with weight gain and obesity at 1-year follow-up: a large-scale prospective study,Sleep,10.1093/sleep/33.2.161
24049160,Xiao,2013,"A large prospective investigation of sleep duration, weight change, and obesity in the NIH-AARP diet and health study cohort",American Journal of Epidemiology,10.1093/aje/kwt180
32058229,Zhou,2020,Age and sex differences in the association between sleep duration and general and abdominal obesity at 6-year follow-up: the rural Chinese cohort study,Sleep Medicine,10.1016/j.sleep.2019.12.025
